iter	Logloss
0	0.6880052567
1	0.6836145401
2	0.6795859337
3	0.674114418
4	0.6692831039
5	0.6640482426
6	0.6607327461
7	0.6554299831
8	0.6500912666
9	0.6462736607
10	0.6430487156
11	0.6391902447
12	0.6350232601
13	0.631761837
14	0.627571106
15	0.6238036633
16	0.6197414398
17	0.6163765907
18	0.6123332977
19	0.608624649
20	0.6045962811
21	0.6002364159
22	0.5949450016
23	0.5906560898
24	0.5859234333
25	0.5826941013
26	0.5791139126
27	0.5743380547
28	0.5706739426
29	0.5658341408
30	0.5610916138
31	0.5575468063
32	0.5540709496
33	0.5488668919
34	0.5455540657
35	0.542125082
36	0.5387924194
37	0.5354963303
38	0.5320568562
39	0.5288706779
40	0.5259907246
41	0.5226590157
42	0.5192585468
43	0.5164868832
44	0.512438488
45	0.508866787
46	0.5056608677
47	0.5029459953
48	0.4993514061
49	0.4967719078
50	0.4935488701
51	0.4900910854
52	0.4873363495
53	0.4841010094
54	0.4806851387
55	0.4779436588
56	0.4750957966
57	0.4714363098
58	0.468105793
59	0.4654449463
60	0.4629134178
61	0.4591404915
62	0.4555273056
63	0.4525201797
64	0.4488563061
65	0.4467223167
66	0.4443393707
67	0.4418111324
68	0.4383304596
69	0.4352526665
70	0.4315392494
71	0.4289662361
72	0.426529932
73	0.4239902496
74	0.4211582661
75	0.4185249329
76	0.4161347389
77	0.4134806633
78	0.4112314701
79	0.4082826614
80	0.4060186386
81	0.4047780037
82	0.4028998852
83	0.4007807732
84	0.3987535238
85	0.3963165045
86	0.39389503
87	0.3916451454
88	0.389408803
89	0.3865795135
90	0.3836939335
91	0.3807482719
92	0.3784796715
93	0.3769741297
94	0.3745168686
95	0.3724015236
96	0.3693545341
97	0.367032814
98	0.3639852762
99	0.3622778893
100	0.3603009462
101	0.3580368757
102	0.3557125807
103	0.3538093567
104	0.3517819643
105	0.3496739864
106	0.3469272137
107	0.344669342
108	0.3428289413
109	0.3410828114
110	0.339722681
111	0.3375465155
112	0.3354478359
113	0.3332083702
114	0.331928134
115	0.3304551601
116	0.328529954
117	0.326944828
118	0.3251406193
119	0.3234902859
120	0.3214712858
121	0.3200133324
122	0.3183770418
123	0.316335535
124	0.3151262522
125	0.3134331226
126	0.3116652489
127	0.3103458881
128	0.3086531401
129	0.3068934679
130	0.3055062532
131	0.3027829409
132	0.3015603065
133	0.2991907597
134	0.2967657566
135	0.2953480244
136	0.2934782982
137	0.2920066833
138	0.2906735182
139	0.2884619713
140	0.2870860815
141	0.2853427649
142	0.2837290525
143	0.282639122
144	0.2813045502
145	0.2797411442
146	0.2784505844
147	0.2767686844
148	0.2751820326
149	0.2739053011
150	0.272537756
151	0.2707899094
152	0.2690965652
153	0.2674621105
154	0.2658197641
155	0.2642895699
156	0.2628046036
157	0.2613125801
158	0.2602041006
159	0.2587216377
160	0.2573433876
161	0.2560262918
162	0.2548972607
163	0.2530720234
164	0.2520979643
165	0.250723362
166	0.2495516777
167	0.2483914375
168	0.2472864151
169	0.2456395626
170	0.2439491749
171	0.2429697275
172	0.2418167591
173	0.240119195
174	0.2389858723
175	0.2378582001
176	0.2365263939
177	0.2350440979
178	0.2339325905
179	0.2328228951
180	0.2317854881
181	0.2305208683
182	0.2294848442
183	0.2284321308
184	0.2269989014
185	0.2259294033
186	0.2246086121
187	0.2237085819
188	0.2225656033
189	0.2216427565
190	0.2209348679
191	0.2196978807
192	0.2187245607
193	0.2173911333
194	0.2159854174
195	0.214907527
196	0.2138082027
197	0.2123996258
198	0.210842371
199	0.2102242947
200	0.2091869354
201	0.2086799622
202	0.2072287321
203	0.2062649727
204	0.2053524971
205	0.2040584087
206	0.2030608892
207	0.2023386955
208	0.2015383482
209	0.2003800631
210	0.1996199846
211	0.1984214783
212	0.1975085258
213	0.1963225603
214	0.1955278754
215	0.1946826696
216	0.193676877
217	0.1929399014
218	0.191596055
219	0.1905664325
220	0.1898096681
221	0.1889416337
222	0.1877417684
223	0.1870123982
224	0.1859556675
225	0.1849636078
226	0.1839959979
227	0.1829457998
228	0.1822361827
229	0.1813557625
230	0.1805879831
231	0.1795022845
232	0.1782907128
233	0.1774518013
234	0.1766032577
235	0.1759792447
236	0.1752704263
237	0.1743522882
238	0.1736352682
239	0.172603631
240	0.1718082428
241	0.1707832098
242	0.1700932384
243	0.1692273855
244	0.1682069778
245	0.1674539447
246	0.1669950247
247	0.1660323739
248	0.1654820204
249	0.1645447612
250	0.1638287544
251	0.1631673217
252	0.1625547171
253	0.161879158
254	0.161023128
255	0.1603046179
256	0.1595323563
257	0.15878793
258	0.1579337597
259	0.1571878672
260	0.1564380646
261	0.1557567954
262	0.1550465345
263	0.1544588447
264	0.1535398722
265	0.1527523279
266	0.1521406651
267	0.1515210867
268	0.1507190704
269	0.1502266645
